"Time","Loki Moscow - RBI_FSS_PRIORITY_EURUSD_TOM - EUR/USD_T+1 - 1 - ask"
2022-09-21 09:19:10,0.994
2022-09-21 09:19:15,0.994
2022-09-21 09:19:20,0.994
2022-09-21 09:19:25,0.994
2022-09-21 09:19:30,0.994
2022-09-21 09:19:35,0.994
2022-09-21 09:19:40,0.994
2022-09-21 09:19:45,0.994
2022-09-21 09:19:50,0.994
2022-09-21 09:19:55,0.994
2022-09-21 09:20:00,0.994
2022-09-21 09:20:05,0.994
2022-09-21 09:20:10,0.994
2022-09-21 09:20:15,0.994
2022-09-21 09:20:20,0.994
2022-09-21 09:20:25,0.994
2022-09-21 09:20:30,0.994
2022-09-21 09:20:35,0.995
2022-09-21 09:20:40,0.995
2022-09-21 09:20:45,0.995
2022-09-21 09:20:50,0.995
2022-09-21 09:20:55,0.995
2022-09-21 09:21:00,0.995
2022-09-21 09:21:05,0.995
2022-09-21 09:21:10,0.995
2022-09-21 09:21:15,0.995
2022-09-21 09:21:20,0.995
2022-09-21 09:21:25,0.995
2022-09-21 09:21:30,0.995
2022-09-21 09:21:35,0.995
2022-09-21 09:21:40,0.995
2022-09-21 09:21:45,0.995
2022-09-21 09:21:50,0.995
2022-09-21 09:21:55,0.995
2022-09-21 09:22:00,0.995
2022-09-21 09:22:05,0.995
2022-09-21 09:22:10,0.995
2022-09-21 09:22:15,0.995
2022-09-21 09:22:20,0.995
2022-09-21 09:22:25,0.995
2022-09-21 09:22:30,0.995
2022-09-21 09:22:35,0.995
2022-09-21 09:22:40,0.995
2022-09-21 09:22:45,0.995
2022-09-21 09:22:50,0.995
2022-09-21 09:22:55,0.995
2022-09-21 09:23:00,0.995
2022-09-21 09:23:05,0.995
2022-09-21 09:23:10,0.995
2022-09-21 09:23:15,0.995
2022-09-21 09:23:20,0.995
2022-09-21 09:23:25,0.995
2022-09-21 09:23:30,0.995
2022-09-21 09:23:35,0.995
2022-09-21 09:23:40,0.995
2022-09-21 09:23:45,0.995
2022-09-21 09:23:50,0.995
2022-09-21 09:23:55,0.995
2022-09-21 09:24:00,0.995
2022-09-21 09:24:05,0.995
2022-09-21 09:24:10,0.995
2022-09-21 09:24:15,0.995
2022-09-21 09:24:20,0.995
2022-09-21 09:24:25,0.995
2022-09-21 09:24:30,0.995
2022-09-21 09:24:35,0.995
2022-09-21 09:24:40,0.995
2022-09-21 09:24:45,0.995
2022-09-21 09:24:50,0.995
2022-09-21 09:24:55,0.995
2022-09-21 09:25:00,0.995
2022-09-21 09:25:05,0.995
2022-09-21 09:25:10,0.995
2022-09-21 09:25:15,0.995
2022-09-21 09:25:20,0.994
2022-09-21 09:25:25,0.994
2022-09-21 09:25:30,0.994
2022-09-21 09:25:35,0.995
2022-09-21 09:25:40,0.995
2022-09-21 09:25:45,0.995
2022-09-21 09:25:50,0.994
2022-09-21 09:25:55,0.994
2022-09-21 09:26:00,0.994
2022-09-21 09:26:05,0.994
2022-09-21 09:26:10,0.994
2022-09-21 09:26:15,0.994
2022-09-21 09:26:20,0.994
2022-09-21 09:26:25,0.994
2022-09-21 09:26:30,0.994
2022-09-21 09:26:35,0.994
2022-09-21 09:26:40,0.994
2022-09-21 09:26:45,0.994
2022-09-21 09:26:50,0.994
2022-09-21 09:26:55,0.994
2022-09-21 09:27:00,0.994
2022-09-21 09:27:05,0.994
2022-09-21 09:27:10,0.994
2022-09-21 09:27:15,0.994
2022-09-21 09:27:20,0.994
