iter	Logloss
0	0.6899358639
1	0.6873932386
2	0.6842600914
3	0.6813541426
4	0.6776206274
5	0.6748512252
6	0.671757256
7	0.6693262338
8	0.6667357878
9	0.6645758747
10	0.662309594
11	0.6597921621
12	0.6575787657
13	0.6553183753
14	0.6526603495
15	0.6501790821
16	0.6473560079
17	0.64460962
18	0.6426694268
19	0.6401036884
20	0.6376693124
21	0.6347977801
22	0.6320889627
23	0.6289854433
24	0.6269061296
25	0.6253348394
26	0.623294869
27	0.6211562547
28	0.6193092508
29	0.6161761339
30	0.6145823924
31	0.6126090024
32	0.610377034
33	0.6092492084
34	0.6075172341
35	0.6052657548
36	0.6031371611
37	0.5995623249
38	0.5974391519
39	0.594800558
40	0.5935177058
41	0.5916272584
42	0.5893635401
43	0.5872682277
44	0.5850914552
45	0.5824291884
46	0.5799789771
47	0.5782682148
48	0.5760430464
49	0.5750948222
50	0.5735495007
51	0.5713587161
52	0.569313026
53	0.5676961721
54	0.5661255678
55	0.5644046508
56	0.563099391
57	0.5614630954
58	0.5601475815
59	0.5580679051
60	0.5556867499
61	0.5541044381
62	0.552223575
63	0.5506338313
64	0.5485076708
65	0.5466284877
66	0.5450784571
67	0.5427540468
68	0.5404447491
69	0.5383536395
70	0.536307417
71	0.5350586462
72	0.5331387073
73	0.5314167654
74	0.5300691186
75	0.5284949381
76	0.5270037848
77	0.5250964862
78	0.5235764513
79	0.5217851167
80	0.5200489355
81	0.5183376626
82	0.5164600449
83	0.5144192627
84	0.5121107735
85	0.5102694871
86	0.5086422312
87	0.5073136242
88	0.5058942953
89	0.5046627193
90	0.5038848286
91	0.5025367997
92	0.5014941022
93	0.4997767425
94	0.4984225749
95	0.4968757977
96	0.4949817281
97	0.4931102728
98	0.4913250283
99	0.49010914
100	0.4883712561
101	0.4867027252
102	0.484985467
103	0.4844386407
104	0.4828845571
105	0.4816838254
106	0.4796092241
107	0.4781328903
108	0.4766134527
109	0.4747428772
110	0.4736976909
111	0.4726364163
112	0.472030003
113	0.4711645523
114	0.4700790257
115	0.468561682
116	0.4670493169
117	0.4650104781
118	0.4640486982
119	0.4625326642
120	0.4608024558
121	0.459985995
122	0.4586254364
123	0.457361112
124	0.4562450571
125	0.4543317408
126	0.4521433324
127	0.4503558625
128	0.4491213295
129	0.4475504982
130	0.4457606655
131	0.4443943472
132	0.4433515243
133	0.4418177513
134	0.4409070712
135	0.4393016589
136	0.4385648456
137	0.4377764792
138	0.4367644991
139	0.4352366476
140	0.433709232
141	0.4322967968
142	0.4312965404
143	0.4302097401
144	0.4290808581
145	0.4283973456
146	0.4272675164
147	0.425672196
148	0.4243460903
149	0.4223074708
150	0.4205419749
151	0.4195408318
152	0.4181980144
153	0.4171522263
154	0.4152667333
155	0.4146070199
156	0.4140647184
157	0.4128858799
158	0.4122233941
159	0.411323399
160	0.4102729691
161	0.4087524931
162	0.4069672534
163	0.4057286804
164	0.404670401
165	0.4040003735
166	0.4025348666
167	0.4015623537
168	0.4005207287
169	0.3989072095
170	0.3976112251
171	0.39598132
172	0.3945617262
173	0.3935296162
174	0.3925126405
175	0.3909688385
176	0.3897733174
177	0.3886937289
178	0.3877980703
179	0.3859032307
180	0.384666314
181	0.3835526415
182	0.3829172737
183	0.3815291831
184	0.3801401185
185	0.3791019166
186	0.3779684705
187	0.3772247981
188	0.3764490313
189	0.3752176608
190	0.3743277995
191	0.3731900519
192	0.3723030501
193	0.3711085896
194	0.3699185428
195	0.3686685538
196	0.3673271192
197	0.3658764947
198	0.364622343
199	0.3634175878
200	0.3621897781
201	0.360554267
202	0.3591788552
203	0.3586775345
204	0.3577167765
205	0.3565703325
206	0.3559188043
207	0.3551239402
208	0.3536749947
209	0.3527513768
210	0.3515282277
211	0.3499580994
212	0.3493598684
213	0.3485711137
214	0.3471170212
215	0.3462331716
216	0.3450666856
217	0.3438422739
218	0.3422460811
219	0.3406982797
220	0.3397812661
221	0.3384798447
222	0.3371463984
223	0.3365041384
224	0.3351147159
225	0.3344039787
226	0.3328963357
227	0.3317498863
228	0.3305885293
229	0.3295422211
230	0.3288653003
231	0.3277162357
232	0.3263439594
233	0.3253034397
234	0.3245501301
235	0.3231308887
236	0.3225496281
237	0.3217357877
238	0.3211204869
239	0.3195322311
240	0.3184448754
241	0.3172333351
242	0.3157436235
243	0.3145907151
244	0.3139171035
245	0.3128087066
246	0.3120329916
247	0.3112173755
248	0.3104949534
249	0.309243439
250	0.3081959838
251	0.3072227459
252	0.3058194624
253	0.3051522638
254	0.3040141611
255	0.302954363
256	0.3022282749
257	0.3009132451
258	0.3003607368
259	0.2995408941
260	0.2985223612
261	0.2975168875
262	0.2968596476
263	0.2955485253
264	0.294807264
265	0.2940408242
266	0.2923836648
267	0.2910447825
268	0.2906249696
269	0.2887310697
270	0.2876541958
271	0.2865617861
272	0.2851715269
273	0.2833948395
274	0.2818694094
275	0.2814007078
276	0.2801374692
277	0.2790358856
278	0.2785388524
279	0.2779395093
280	0.2767487941
281	0.276258516
282	0.2751789608
283	0.2740216007
284	0.2735061302
285	0.2726402678
286	0.271208498
287	0.2699752919
288	0.2687584453
289	0.2677739448
290	0.267068264
291	0.2660834811
292	0.2647792966
293	0.2635328397
294	0.2626104033
295	0.2615613929
296	0.260482477
297	0.2597104416
298	0.2588418471
299	0.2579506382
300	0.2570435899
301	0.2558204368
302	0.254774671
303	0.2535254734
304	0.2525663377
305	0.2509963113
306	0.2500124703
307	0.2491126638
308	0.2485697864
309	0.2476368117
310	0.2466266628
311	0.2452214515
312	0.2440195511
313	0.2429339485
314	0.2417925454
315	0.2406812375
316	0.240129644
317	0.2393033095
318	0.2382055719
319	0.2374384718
320	0.2364088132
321	0.2351561335
322	0.2333570899
323	0.2320815681
324	0.231147883
325	0.2301695582
326	0.2294816842
327	0.2282913541
328	0.2275285378
329	0.2265205657
330	0.2256678209
331	0.2247180207
332	0.2235268266
333	0.2226305927
334	0.2217692076
335	0.2202529721
336	0.2195489967
337	0.2187823712
338	0.2177377072
339	0.2163230469
340	0.2152279255
341	0.213748932
342	0.2128656297
343	0.2114226963
344	0.2098119158
345	0.2085733871
346	0.2075914938
347	0.2065517059
348	0.205640902
349	0.2043751985
350	0.2038044616
351	0.2029145428
352	0.2019222332
353	0.2007649954
354	0.200195699
