iter	Passed	Remaining
0	7	72785
1	14	71851
2	22	74180
3	30	76414
4	37	75168
5	44	73362
6	50	71477
7	57	71305
8	65	72361
9	72	72624
10	79	71785
11	86	72162
12	93	71727
13	99	70969
14	105	70352
15	112	70232
16	119	70058
17	126	70189
18	133	69975
19	139	69720
20	145	69375
21	153	69603
22	160	69480
23	167	69566
24	174	69757
25	182	69923
26	189	69917
27	196	69895
28	202	69712
29	209	69688
30	216	69537
31	222	69405
32	229	69197
33	235	69089
34	241	68748
35	247	68603
36	254	68602
37	261	68509
38	268	68657
39	276	68750
40	280	68240
41	287	68152
42	294	68110
43	301	68262
44	309	68428
45	316	68395
46	322	68348
47	328	68166
48	336	68268
49	341	67934
50	347	67805
51	354	67739
52	360	67709
53	368	67870
54	375	67888
55	381	67782
56	387	67678
57	393	67456
58	400	67414
59	407	67491
60	415	67653
61	421	67602
62	427	67452
63	434	67461
64	441	67556
65	449	67619
66	455	67482
67	462	67524
68	469	67548
69	476	67547
70	483	67567
71	489	67446
72	495	67430
73	502	67458
74	507	67219
75	514	67166
76	521	67181
77	528	67205
78	535	67199
79	541	67195
80	549	67243
81	556	67268
82	562	67235
83	569	67282
84	577	67400
85	584	67324
86	590	67289
87	596	67213
88	603	67223
89	609	67102
90	614	66954
91	621	66952
92	627	66865
93	634	66880
94	640	66779
95	646	66724
96	652	66656
97	660	66688
98	667	66718
99	673	66690
100	680	66700
101	687	66668
102	693	66632
103	698	66497
104	705	66522
105	712	66479
106	718	66463
107	725	66471
108	732	66490
109	740	66552
110	745	66415
111	751	66357
112	756	66180
113	762	66099
114	768	66062
115	775	66080
116	782	66105
117	789	66098
118	794	66011
119	801	65992
120	808	65976
121	814	65916
122	821	65962
123	828	66021
124	835	66005
125	842	66009
126	849	66014
127	855	66012
128	861	65920
129	868	65974
130	876	66042
131	883	66014
132	889	65959
133	896	66028
134	903	65988
135	909	65960
136	915	65899
137	921	65859
138	928	65840
139	935	65863
140	941	65817
141	948	65861
142	955	65831
143	961	65778
144	967	65775
145	973	65701
146	979	65668
147	986	65698
148	993	65703
149	1022	67170
150	1031	67274
151	1039	67346
152	1047	67429
153	1055	67461
154	1063	67562
155	1070	67567
156	1076	67500
157	1083	67505
158	1090	67471
159	1098	67560
160	1106	67596
161	1114	67670
162	1122	67717
163	1130	67798
164	1138	67847
165	1145	67833
166	1151	67824
167	1159	67872
168	1170	68114
169	1183	68426
170	1190	68452
171	1208	69046
172	1225	69623
173	1235	69747
174	1253	70358
175	1261	70441
176	1290	71612
177	1298	71654
178	1305	71615
179	1313	71642
180	1321	71668
181	1328	71664
182	1335	71626
183	1341	71580
184	1348	71552
185	1355	71511
186	1362	71517
187	1369	71497
188	1376	71474
189	1382	71398
190	1389	71359
191	1396	71317
